DATE_PERIOD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL
2008-10-27,15/9-F-12,24.0,233.867,106.118,163.46,13.814,47.80083,70.406,76.258,3622.0
2008-10-28,15/9-F-12,24.0,234.185,106.121,163.447,13.825,47.51986,70.738,75.579,3728.0
2008-10-29,15/9-F-12,23.17,238.978,106.066,163.852,12.463,40.55929,75.127,72.032,2823.0
2008-10-30,15/9-F-12,24.0,235.708,106.088,163.243,12.93,46.26385,72.465,75.998,3471.0
2008-10-31,15/9-F-12,24.0,234.494,106.097,163.198,13.601,46.82448,71.296,76.64,3516.0
2008-11-01,15/9-F-12,22.5,238.283,106.053,164.152,12.414,41.04032,74.131,72.006,2758.0
2008-11-02,15/9-F-12,24.0,230.617,106.134,164.82,12.813,54.13522,65.797,75.954,4443.0
2008-11-03,15/9-F-12,24.0,224.533,106.257,166.69,14.775,63.6046,57.843,78.492,4939.0
2008-11-04,15/9-F-12,24.0,223.53,106.291,167.205,14.917,65.91419,56.326,79.234,5124.0
2008-11-05,15/9-F-12,24.0,222.953,106.309,166.992,14.813,66.81713,55.961,78.212,5188.0
2008-11-06,15/9-F-12,24.0,222.612,106.318,166.776,14.603,67.27832,55.836,76.152,5204.0
2008-11-07,15/9-F-12,24.0,221.626,106.342,167.352,14.582,70.74367,54.274,76.206,5136.0
2008-11-08,15/9-F-12,24.0,221.658,106.353,167.337,14.638,70.75831,54.321,77.011,5141.0
2008-11-09,15/9-F-12,24.0,221.997,106.361,167.263,14.696,69.84177,54.734,76.378,5114.0
2008-11-10,15/9-F-12,24.0,222.583,106.363,167.058,14.718,68.19639,55.525,76.43,5060.0
2008-11-11,15/9-F-12,24.0,222.715,106.371,167.158,14.753,68.21417,55.557,77.587,5077.0
2008-11-12,15/9-F-12,24.0,222.86,106.378,167.564,14.906,68.20333,55.297,79.105,5065.0
2008-11-13,15/9-F-12,24.0,222.987,106.385,167.359,14.915,68.23689,55.628,77.911,5084.0
2008-11-14,15/9-F-12,24.0,223.157,106.393,167.369,14.876,68.26733,55.787,76.952,5106.0
2008-11-15,15/9-F-12,24.0,223.43,106.398,167.463,14.89,67.78168,55.968,77.971,5097.0
2008-11-16,15/9-F-12,24.0,223.445,106.401,167.579,14.895,67.73251,55.866,78.649,5082.0
2008-11-17,15/9-F-12,24.0,223.517,106.406,167.407,14.892,66.33882,56.11,77.224,5077.0
2008-11-18,15/9-F-12,24.0,223.428,106.408,167.473,14.815,67.76173,55.956,78.488,5074.0
2008-11-19,15/9-F-12,24.0,221.755,106.414,167.895,14.725,72.56489,53.859,78.958,5223.0
2008-11-20,15/9-F-12,23.88,222.21,106.418,167.63,14.727,70.34545,54.581,78.507,5117.0
2008-11-21,15/9-F-12,18.29,228.074,106.338,167.7,12.152,60.75193,60.374,72.884,3554.0
2008-11-22,15/9-F-12,24.0,223.64,106.423,167.59,14.863,67.74944,56.05,78.064,5034.0
2008-11-23,15/9-F-12,24.0,226.084,106.395,166.524,14.881,62.84763,59.56,77.165,4831.0
2008-11-24,15/9-F-12,24.0,224.082,106.41,167.13,14.849,65.97474,56.952,78.419,4971.0
2008-11-25,15/9-F-12,24.0,223.72,106.432,167.698,14.994,67.96528,56.023,78.677,5063.0
2008-11-26,15/9-F-12,24.0,223.325,106.453,168.21,15.097,70.48449,55.114,78.622,5146.0
2008-11-27,15/9-F-12,24.0,223.083,106.471,168.498,15.064,72.35622,54.584,76.733,5200.0
2008-11-28,15/9-F-12,24.0,243.631,106.256,165.052,13.059,42.02247,78.579,72.351,2897.0
2008-11-29,15/9-F-12,24.0,230.675,106.389,168.032,13.892,62.31119,62.644,77.032,4853.0
2008-11-30,15/9-F-12,24.0,225.876,106.496,169.783,15.567,70.24967,56.092,79.676,5256.0
2008-12-01,15/9-F-12,24.0,228.741,106.486,169.399,15.389,66.29217,59.341,78.814,5095.0
2008-12-02,15/9-F-12,24.0,228.337,106.505,170.561,15.295,70.49833,57.775,79.043,5276.0
2008-12-03,15/9-F-12,24.0,227.373,106.536,170.584,15.862,70.10871,56.789,79.84,5333.0
